Trace Path6
X(mm), Y(mm), Z(mm)
32.9938115610511, 67.747629651172, 173.958596484507
32.9938115610511, 73.0879990108544, 175.914878427647
32.9938115610511, 74.416103117679, 176.081400538117
32.9938115610514, 76.8520701346552, 176.027240572136
32.9938115610511, 78.9632437248886, 175.923478931962
32.9938115610507, 81.3104268414283, 175.542147177826
32.9938115610511, 83.2500088975503, 174.913704539322
32.9938115610511, 85.0542059433551, 173.965532823821
32.993811561051, 86.8491242142837, 172.737314784526
32.9938115610511, 87.3595971169496, 172.329149888539
32.9938115610511, 90.4715731648213, 169.060031620602
32.9938115610427, 91.712860279918, 167.14458367402
32.9938115610511, 91.9591418850748, 166.686674491494
32.9938115610511, 92.7590617699768, 164.917427514717
32.9938115610511, 93.4468281343298, 162.69099283798
32.9938115610505, 93.7748020783328, 160.747601602524
32.9938115610486, 93.8653535248702, 159.032608202853
32.9938115610508, 93.6013164825795, 156.14763506862
32.9938115610497, 93.0927639597186, 154.195185381724
32.9938115610518, 92.3818213947078, 152.394950814954
32.9938115610508, 91.1902512066466, 150.192011954277
32.993811561051, 90.0441262722464, 148.576728049347
32.9938115610511, 87.3212841468972, 145.758693024026
32.9938115610515, 85.7380404825215, 144.522933949912
32.9938115610552, 85.4956841121749, 144.349546629324
32.9938115610511, 83.4085016130617, 143.073850319051
32.9938115610523, 80.3323112381491, 142.250313708472
32.9938115610523, 79.8471638084286, 142.183212005131
32.9938115610511, 78.5550041001551, 142.027722994604
32.993811561051, 76.7362425884847, 142.019750753713
32.9938115610511, 73.9871249437982, 142.383777971136
32.9938115610511, 73.9871249437982, 142.383777971136
32.9938115610511, 68.6694486709146, 144.110172794692
32.9938115610456, 64.3663661463621, 147.309692354949
32.9938115610512, 62.5544599275537, 149.606863071506
32.9938115610563, 61.4432234012949, 151.637532271847
32.9938115610511, 61.1097141136445, 152.405688934221
32.9938115610658, 60.6377828198059, 153.742797372816
32.9938115610506, 60.2850366666495, 155.087795144642
32.993811561055, 60.0417549301797, 156.435761109776
32.9938115610432, 59.9732598787595, 156.976588197282
32.9938115610511, 59.9409404208707, 160.682897305321
32.9938115610512, 60.0041640998197, 161.24920671753
32.9938115610453, 60.1411780638567, 162.157077774164
32.9938115610522, 60.5062180784768, 163.864216745994
32.9938115610521, 61.0438459565277, 165.56141267084
32.9938115610506, 61.1376102315634, 165.801012466903
32.993811561053, 61.8746841938542, 167.389427791782
32.9938115610511, 63.4606645511353, 169.765242707558
32.9938115610551, 66.6379117881399, 172.624248946755
32.9938115610419, 66.8057916442983, 172.727543567084
32.9938115610524, 70.6861255956023, 174.703795394108
32.9938115610511, 73.7259504322711, 175.705612312317
32.9938115610569, 74.7755048606758, 175.898980374719
32.9938115610511, 77.4254800856786, 176.163945065961
32.9938115610511, 79.0085752511822, 175.984160747334
32.9938115610509, 81.5585279822341, 175.403986238988
32.9938115610512, 82.9543316417403, 174.900412947483
32.9938115610506, 84.2889367087833, 174.284774382162
32.9938115610464, 86.229444473905, 173.136396506774
32.9938115610442, 86.4486383313135, 172.984147716352
32.993811561051, 89.3173355966453, 170.447457629548
32.9938115610506, 91.4781290831486, 167.562795325015
32.9938115610513, 91.5499077408905, 167.440945976552
32.9938115610545, 92.1794891076453, 166.264780274528
32.9938115610511, 92.8763529468818, 164.639380764169
32.9938115610511, 93.0525778709954, 164.13728542815
32.9938115610599, 93.4017166428625, 162.945266006919
32.9938115610457, 93.7797331758821, 160.910214617311
32.9938115610511, 93.8020590525864, 160.713727272817
32.9938115610423, 93.809093516164, 157.350443729499
32.9938115610508, 93.7923346346198, 157.194495770086
32.9938115610568, 93.3974973119756, 155.040523081777
32.9938115610511, 93.1519562899798, 154.180212683415
32.993811561051, 93.0912540983174, 153.990622052258
32.993811561052, 92.3790149202574, 152.187769242669
32.9938115610601, 91.9560274887674, 151.35286505628
32.9938115610499, 91.7657929752247, 151.004789875186
32.993811561052, 91.047014004444, 149.827393862746
32.9938115610442, 90.4019533092904, 148.909679426568
32.9938115610522, 88.6454012940815, 146.836554130777
32.9938115610511, 86.7486516587161, 145.082102385162
32.9938115610498, 84.7678296561366, 143.659244068078
32.9938115610574, 83.538068494419, 143.138587429893
32.9938115610451, 82.6281479246181, 142.814643099503
32.9938115610515, 82.4275220579392, 142.740239468878
32.9938115610561, 81.5578764184876, 142.488937676461
32.993811561051, 80.6288501137367, 142.300779631087
32.9938115610647, 80.5470899075876, 142.278047467272
32.9938115610511, 79.2716608613714, 142.113736415892
32.9938115610511, 78.5775801518047, 142.009224739
32.9938115610502, 78.5002668868044, 142.011048546979
32.9938115610504, 77.9442815890277, 142.03067045339
32.9938115610582, 77.0717331932413, 141.986253489365
32.9938115610565, 76.7275150534444, 142.025869746417
32.9938115610511, 76.5701006540481, 142.042261542931
32.9938115610553, 75.6222958476285, 142.035879170948
32.9938115610511, 75.056917399888, 142.14888136531
32.9938115610511, 74.4761047815152, 142.279073736559
32.9938115610511, 73.5226368369383, 142.429240095006
32.9938115610509, 72.6920769240225, 142.67769204031
32.9938115610471, 72.1418680622443, 142.792667852194
32.9938115610496, 71.0889461919876, 143.193302689883
32.9938115610568, 71.0199525106535, 143.215866830365
32.9938115610497, 70.1577026780177, 143.560860140624
32.9938115610538, 70.0442114242174, 143.614695842355
32.9938115610597, 69.8570942097006, 143.704646075868
32.9938115610511, 69.2246895529401, 144.038912862281
32.9938115610472, 68.915070943122, 144.217517848772
32.9938115610601, 68.5758003671777, 144.424736703801
32.9938115610526, 68.0806591336447, 144.71278599294
